president,true_label,n_samples,n_correct,accuracy,first_date
Andrew Jackson,0.0,7,1,0.14285714285714285,1829-04-08
Martin van Buren,0.0,2,0,0.0,1837-03-07
James K. Polk,0.0,4,0,0.0,1845-06-16
Franklin Pierce,0.0,2,0,0.0,1853-03-23
James Buchanan,0.0,1,0,0.0,1859-03-08
Abraham Lincoln,1.0,114,106,0.9298245614035088,1861-04-25
Andrew Johnson,0.0,67,11,0.16417910447761194,1865-04-29
Franklin D. Roosevelt,0.0,3725,3524,0.9460402684563758,1866-06-08
Ulysses S. Grant,1.0,112,102,0.9107142857142857,1869-03-05
Lyndon B. Johnson,0.0,325,92,0.28307692307692306,1873-01-17
Harry S Truman,0.0,907,601,0.6626240352811467,1873-01-17
Dwight D. Eisenhower,1.0,483,208,0.4306418219461698,1873-01-17
Rutherford B. Hayes,1.0,37,37,1.0,1877-03-16
William Howard Taft,1.0,75,59,0.7866666666666666,1877-08-25
James A. Garfield,1.0,2,2,1.0,1881-03-09
Chester A. Arthur,1.0,72,64,0.8888888888888888,1881-10-19
Grover Cleveland,0.0,170,82,0.4823529411764706,1885-03-18
Theodore Roosevelt,1.0,100,91,0.91,1887-05-21
Benjamin Harrison,1.0,66,59,0.8939393939393939,1889-03-11
William McKinley,1.0,114,110,0.9649122807017544,1898-03-28
Woodrow Wilson,0.0,150,82,0.5466666666666666,1909-09-08
Herbert Hoover,1.0,1003,817,0.8145563310069791,1912-05-09
Warren G. Harding,1.0,27,20,0.7407407407407407,1921-04-21
Calvin Coolidge,1.0,80,39,0.4875,1924-01-28
Richard Nixon,1.0,345,244,0.7072463768115942,1929-11-11
John F. Kennedy,0.0,214,76,0.35514018691588783,1932-11-23
Gerald R. Ford,1.0,169,79,0.46745562130177515,1963-01-22
George Bush,1.0,166,79,0.4759036144578313,1972-10-18
Jimmy Carter,0.0,320,234,0.73125,1977-01-21
Ronald Reagan,1.0,381,269,0.7060367454068242,1981-01-28
William J. Clinton,0.0,364,115,0.3159340659340659,1993-01-20
George W. Bush,1.0,291,238,0.8178694158075601,2001-01-29
"Joseph R. Biden, Jr.",0.0,162,19,0.11728395061728394,2001-09-11
Barack Obama,0.0,276,50,0.18115942028985507,2009-01-21
Donald J. Trump (1st Term),1.0,220,206,0.9363636363636364,2017-01-20
Donald J. Trump (2nd Term),1.0,254,249,0.9803149606299213,2025-01-20
