president,true_label,n_samples,n_correct,accuracy,first_date
Andrew Jackson,0.0,7,2,0.2857142857142857,1829-04-08
Martin van Buren,0.0,2,0,0.0,1837-03-07
James K. Polk,0.0,4,0,0.0,1845-06-16
Franklin Pierce,0.0,2,2,1.0,1853-03-23
James Buchanan,0.0,1,0,0.0,1859-03-08
Abraham Lincoln,1.0,114,79,0.6929824561403509,1861-04-25
Andrew Johnson,0.0,67,38,0.5671641791044776,1865-04-29
Franklin D. Roosevelt,0.0,3725,3616,0.970738255033557,1866-06-08
Ulysses S. Grant,1.0,112,107,0.9553571428571429,1869-03-05
Lyndon B. Johnson,0.0,325,212,0.6523076923076923,1873-01-17
Harry S Truman,0.0,907,843,0.9294377067254685,1873-01-17
Dwight D. Eisenhower,1.0,483,131,0.2712215320910973,1873-01-17
Rutherford B. Hayes,1.0,37,34,0.918918918918919,1877-03-16
William Howard Taft,1.0,75,47,0.6266666666666667,1877-08-25
James A. Garfield,1.0,2,1,0.5,1881-03-09
Chester A. Arthur,1.0,72,67,0.9305555555555556,1881-10-19
Grover Cleveland,0.0,170,107,0.6294117647058823,1885-03-18
Theodore Roosevelt,1.0,100,86,0.86,1887-05-21
Benjamin Harrison,1.0,66,50,0.7575757575757576,1889-03-11
William McKinley,1.0,114,94,0.8245614035087719,1898-03-28
Woodrow Wilson,0.0,150,85,0.5666666666666667,1909-09-08
Herbert Hoover,1.0,1003,739,0.7367896311066799,1912-05-09
Warren G. Harding,1.0,27,18,0.6666666666666666,1921-04-21
Calvin Coolidge,1.0,80,56,0.7,1924-01-28
Richard Nixon,1.0,345,188,0.5449275362318841,1929-11-11
John F. Kennedy,0.0,214,182,0.8504672897196262,1932-11-23
Gerald R. Ford,1.0,169,95,0.5621301775147929,1963-01-22
George Bush,1.0,166,83,0.5,1972-10-18
Jimmy Carter,0.0,320,232,0.725,1977-01-21
Ronald Reagan,1.0,381,197,0.5170603674540682,1981-01-28
William J. Clinton,0.0,364,248,0.6813186813186813,1993-01-20
George W. Bush,1.0,291,83,0.2852233676975945,2001-01-29
"Joseph R. Biden, Jr.",0.0,162,139,0.8580246913580247,2001-09-11
Barack Obama,0.0,276,238,0.8623188405797102,2009-01-21
Donald J. Trump (1st Term),1.0,220,32,0.14545454545454545,2017-01-20
Donald J. Trump (2nd Term),1.0,254,129,0.5078740157480315,2025-01-20
