term,score
retirement,0.019791197046420385
administrator,0.018794821932325012
retirement age,0.01730533769837394
fair competition,0.016780915648645145
age,0.016723604272176094
lands,0.016506784676295603
fair,0.01625177776429166
competition,0.016146748619155143
person,0.014941628016865478
war,0.01436908679579689
date,0.013905661761151362
period,0.013710924237507912
regulations,0.013593839431764098
interest,0.013281147583925046
effective,0.013077622081331439
compulsory retirement,0.012697104482893348
necessary,0.01266714774099834
compulsory,0.012622099278997202
prescribed,0.012501721980499689
employees,0.012332257468091721
report,0.012298191453868682
authorized,0.011888197879088843
purposes,0.011782552200884517
members,0.011766124874949262
follows,0.0116049100902998
