term,score
lands,0.015792291267336132
regulations,0.013650267060267486
general,0.013528836380589649
members,0.013527415506077453
date,0.013516618449593808
revoked,0.013417722585841674
appropriate,0.013099590070860818
following,0.012275831038408472
rules,0.012195552418986769
employees,0.01198851565076594
report,0.011662479503715331
time,0.01156806058182604
appointed,0.01129798864305494
national,0.011241977598278148
officers,0.011062527774166768
departments,0.010891623324097644
effect,0.01068804367837368
force,0.010606133336486374
person,0.010476638515913421
follows,0.010279913511206658
effective,0.010214125107680237
respect,0.010097870921632703
assistant,0.009917198384097554
board,0.009809405534152845
chairman,0.009706357531510147
