term,score
war,0.07280820860628914
military,0.063520502237822
command,0.05031480307537236
army,0.034419094100563576
city,0.03205850307284968
majorgeneral,0.030859840061426565
commanding,0.027556111032076405
troops,0.0255684232885433
officers,0.02378494944482888
general,0.02340857428016399
country,0.021990046710984507
insurrection,0.021968948022298034
persons,0.020998757436890374
forces,0.020298672348818388
adjutantgeneral,0.020296942467385195
orders,0.02016986101309926
generals,0.018237701225460718
volunteers,0.01794362254660607
governor,0.017689393316904566
draft,0.017620504575858554
authorized,0.017132990440269783
naval,0.016673229688162015
exportation,0.016626666362516043
potomac,0.015994210270094348
general orders,0.015834447765711572
