term,score
pension,0.09866311092903757
acting,0.08488637215109954
respectfully,0.0838144755890348
country,0.08345867249907243
war,0.08273317146186564
sir,0.08009698192950579
dismissal,0.0768039806054523
volunteers,0.07632837287202249
requisition,0.07333646442849848
addressed,0.06553591597290352
death,0.06527043643242784
office,0.06415596036884574
received,0.06304293480064502
every,0.0624905388504334
called,0.061844283716328816
clerk,0.06182717649826361
apportionment,0.05961577242048423
receipt,0.05515959041257304
adjudged,0.054962689257231356
memory,0.0540965351398667
general,0.05243395608227272
anyone,0.05204793847476912
soldier,0.04994818514689356
consequence,0.04992763109676462
commence,0.049331555464518784
