term,score
command,0.08193814161390142
brevet,0.07305786998006027
military,0.05346958643563085
adjutantgeneral,0.049502995904076245
majorgeneral,0.04902339989516465
office,0.0486952272760125
district,0.04587199458995933
assistant adjutantgeneral,0.044682072109998
war,0.04263661374858527
generals office,0.04039389230784384
generals,0.03965913123248033
brigadiergeneral,0.03825648419557425
instant,0.037569875043301136
sir,0.03617175380840321
headquarters,0.032043512006113974
assistant,0.02916303048758201
brevet majorgeneral,0.028849059978330642
late,0.02866533306917791
hon,0.028659778452305495
respectfully,0.02713598939652201
oath,0.02657808075762009
range west,0.026214060230025482
commanders,0.025887689902373286
several,0.025591925102301284
north range,0.024667412299552202
