term,score
person,0.044806495463613205
departments,0.03483108405018355
information,0.03059963977802755
entities,0.030333390322280766
employees,0.02985441925987446
property,0.02865867148017101
officers,0.027377640436643584
benefit,0.027149364110146647
agents,0.025335732507652666
departments entities,0.025021245262995106
intended,0.02487796679098931
support,0.02466029673633911
employees agents,0.024604213935990268
agents person,0.024551509765203403
party departments,0.024391742662562263
forth,0.024334211386923734
appropriate,0.024221877388620222
set forth,0.02421378706833483
equity,0.024208205821956406
entities officers,0.024057389901237305
enforceable equity,0.024023691729476035
members,0.023925917961330978
equity party,0.023861711579303842
benefit substantive,0.02373251206441026
create,0.023729849699406547
