term,score
rule,0.1181794586812807
departmental rule,0.08852926495973974
special departmental,0.07679547796259766
departmental,0.07640644712006289
examination,0.06896826226393532
places,0.062159207366441815
excepted examination,0.057298992379396466
following,0.05490688101971607
rule adding,0.0530323908604211
office,0.049400572989033345
excepted,0.048893882333542055
special,0.04760837944218202
clause,0.04413037062587541
clerk,0.03996793757924902
funeral,0.039608383694079916
adding,0.03823682321308763
employed,0.02756748309126951
among,0.026899755264085466
word,0.024543389677813592
general,0.024413549679156564
rule iii,0.024307842420455642
mail,0.023768904622986663
general rule,0.022410264476662403
halfmast,0.02209519703239069
customs,0.021262270169458242
