term,score
applicable,0.045993671906590546
national,0.04267029832562655
appropriate,0.038046785110896895
security,0.03716308419703611
general,0.03637831896338267
entities,0.033256511088336514
head,0.030731306031552233
departments,0.030465803541263395
otherwise,0.0290185365954432
foreign,0.028619595394293647
legislative,0.02833077074947746
take,0.028153401056443674
equity,0.027824636295930093
availability,0.027778148139019042
proposals,0.027720413427121726
proposals implemented,0.027636186835581358
appropriations intended,0.02762684698954587
budgetary administrative,0.027361118088760725
relating budgetary,0.02733930106989101
implemented applicable,0.027258944580035572
budgetary,0.02721948708491288
applicable availability,0.027184366141040854
implemented,0.02714126290839347
actions,0.02711216862488682
availability appropriations,0.02701800653985965
