term,score
follows,0.025968070033138165
dispute,0.025877361377747633
inspection,0.023542192897624038
railway,0.022631115246658135
respect,0.021938255264326665
board,0.020098365089026946
feet,0.01980568409670167
regulations,0.019068447850073274
designated,0.017797607189627026
sections,0.017433424995974056
time,0.01728788772179681
authorized,0.017007208640085817
chairman,0.016894710031289176
employees,0.016779037828211513
effective,0.01677660343902244
members,0.01665771062803523
defense,0.016266975283764678
entitled,0.01596263339173311
part,0.01594677009899356
labor,0.015838031285380656
date,0.015591556107985611
certain,0.015563316810426477
delegated,0.014998040543393687
conferred,0.014318717099772843
relating,0.014289488149123352
