term,score
war,0.18053748243074427
guns,0.1630576636441776
supervision control,0.13972384073835958
general supervision,0.1356054228589382
officer officers,0.132207272336909
officer,0.13065832866991972
work,0.1256935373712683
promoted,0.11831186828757355
corps,0.11684022478712558
competent,0.10442395895751681
people,0.10146588255203524
charge,0.097027699686509
honors,0.09668706469228579
mourning,0.09668706469228579
deep,0.0956246146239794
exercised,0.09267862802347226
oclock,0.0920216415060594
supervision,0.09008892547808862
suitable,0.08878621237221594
whole,0.0883706312275754
involved,0.08597478500837258
officers,0.08513180821585296
instant,0.08422809039980568
memory,0.08290377889281547
residence,0.07681243452956328
