term,score
constitution laws,0.0458958865539755
members,0.03820188153804538
constitution,0.03744327377248463
laws,0.03466258901504996
report,0.03303924935052159
inserting,0.029745904016226444
presidents,0.026419391273299234
lieu,0.025493676623457872
respect,0.025360693360828565
waive application,0.02497695068348006
deleting,0.023931789502468145
report required,0.0235413654361824
inserting lieu,0.023105240930990156
delegated,0.02226881177308417
regulations,0.021539699412466768
date,0.02131382214491769
waive,0.021302876522818207
chairman,0.021020355524654925
effective,0.020781571180853654
continues,0.020703348422363432
person,0.02059239187798145
sections,0.019528831365138992
required,0.019431960959142743
employees,0.01865952009068885
established,0.01825769396872652
