term,score
inserting,0.03837825368499925
person,0.034115278161507744
departments,0.030845711001892134
appropriate,0.030149163741431114
information,0.029186314244601694
intended,0.029149208423366033
striking,0.0288989376717752
officers,0.02819234962792522
inserting lieu,0.027425670593594218
lieu,0.025950708458560373
employees,0.025859880287067403
report,0.024444346262363293
forth,0.02385293813262006
set forth,0.023789445137164897
entities,0.022659975327567455
benefit,0.021941167780139968
members,0.0217623156638242
set,0.02119991929210646
officers employees,0.021144427602566247
create,0.020959939025969418
procedural,0.020534159335991738
substantive procedural,0.020450082878839225
substantive,0.020411698036905925
enforceable,0.020319391421296875
procedural enforceable,0.020180269890788284
