term,score
rule,0.09150045284746101
examination,0.08896427368082638
clause,0.05338333734948199
departmental,0.05317123300172062
departmental rule,0.04771796262645114
appointment,0.039611857562267414
classified,0.03620241136220887
office,0.03489673027744408
special departmental,0.031298958904011735
customs,0.030301260420324317
places,0.028417783982794938
special,0.028269156481903798
clerk,0.027712152536201157
place,0.027345195896028945
rule iii,0.02640403452304457
employed,0.026052066638929585
excepted examination,0.02552083130205401
words,0.02543577149808102
excepted,0.025387597343261337
filled,0.025386114064244437
general rule,0.023493965131494533
sir,0.02232732774441466
noncompetitive,0.022218849895208156
civil,0.021400303722656833
person,0.021250660796561363
