term,score
published,0.04193622767133029
dispute,0.033618730945089846
board,0.028884709393901725
railway,0.0288613676328382
labor,0.02733095346394271
war,0.024364945993456386
railway labor,0.02190710065475216
follows,0.021704936207358156
transferred,0.02075146330868831
regulations,0.019219001452135214
feet,0.01762522513142576
date,0.01751313016313829
powers,0.01743033442286889
employees,0.017302797458577986
authorized,0.016949318459399086
respect,0.016232991350530326
entitled,0.015543655508380837
necessary,0.01534783788440816
chief,0.015314861107962572
effective,0.014831399149182285
property,0.014421585016140473
transportation,0.014150669910678933
members,0.013933809481401657
duties,0.013781428925631388
statutes,0.013545702320917768
