term,score
lands,0.0448641886188603
mrs,0.03187299385540959
revoked,0.0314426364813296
entry,0.029317042005564245
meridian,0.029185173570749682
unless revoked,0.029084112068563393
effect unless,0.02889831125994489
full force,0.028101271753556402
continue full,0.02730792552154272
force effect,0.027278227191952102
lots,0.02469173936149995
withdrawn,0.024083092239596596
settlement,0.023569127429335188
force,0.023400479739437555
land,0.0230263805445862
resurvey,0.022619047114640186
full,0.022413037427755925
effect,0.022050263735846835
unless,0.021733594021221953
settlement location,0.02129182223362694
location sale,0.02110448536401176
secs,0.0209124016540804
sale entry,0.02088087964065513
withdrawn settlement,0.02079338200862855
continue,0.020682772475215862
