term,score
tract tracts,0.1307628258335113
graves soldiers,0.12828782564974872
enable employees,0.12828782564974872
east meridian,0.1278090272690121
graves,0.127492702959891
fell,0.127492702959891
closed instant,0.127492702959891
decoration,0.1259973000081018
employees participate,0.12461277312825426
rebellion,0.12271121150026765
settlement set,0.12145964085297035
sale settlement,0.11594714558799676
apart reservation,0.11487237260442616
respectfully,0.11454293689173975
township south,0.11320508134930439
excepting,0.11167132207370688
south range,0.11052699634038986
instant,0.1097614454321164
sir,0.1094625180422948
range east,0.10944717480942694
unsurveyed,0.10918646654945385
soldiers,0.10859340490607466
etc,0.10571347507443793
withdrawn sale,0.10480734487924939
passed,0.10322609670321944
