term,score
war,0.19950333323981562
colors,0.15452328815472796
enemies,0.15132956594410735
duties,0.13970237700448415
flags,0.13493721346963405
ports,0.09837613109793192
orders war,0.09440669566147902
military,0.09083069659708484
displayed,0.08265339303466784
standards,0.07837500759200872
memory,0.07168092101495185
taken,0.07107270921441339
deem proper,0.07036581522825763
people,0.06668519582788457
stations,0.06665487643364054
revenue,0.06476827814699646
orders,0.06434996975039695
take measures,0.06433867666508998
deposited,0.06308571191206234
preserved,0.06171767428110187
capitol,0.05974437911060327
proper,0.05900592357714475
guns,0.05639368272306239
mourning,0.05573222306577626
imports,0.0548961500998916
