term,score
chairman,0.035008439287521106
members,0.02926691576252275
mandatory retirement,0.02577658529450427
delegated,0.025267648055096462
mandatory,0.022924105312975413
plan,0.022200550499129154
appropriate,0.020778310044998187
reorganization,0.020760942989570975
report,0.02055735263829807
reorganization plan,0.020332743280729926
effective,0.019661348633522976
general,0.01855932444155343
information,0.018238852176771354
necessary,0.01805981164327646
administrator,0.017986002549164232
deputy,0.01740837948594313
level,0.017385782727070136
deleting,0.016970423129076644
established,0.016709610088994145
filed,0.016608985923864995
assistance,0.016455268479267735
regulations,0.01644657188115547
attorney,0.016225195045348754
positions,0.0160353078160691
attorney general,0.016033716610134776
