term,score
dispute,0.04144723591893427
labor,0.03454539934487799
railway,0.03056311737602511
inspection,0.030302477252249927
board,0.027768475873361804
members,0.027312779696913533
employees,0.02654471717324274
authorized,0.02586705939131713
respect,0.02539468851455618
chairman,0.024874105142302334
appropriate,0.023817380429527003
emergency,0.023235641140603763
certain,0.022999989416475117
railway labor,0.022910252650250772
report,0.021201485680665474
part,0.020242474449938083
organization,0.019424501958029264
represented,0.01873820232605957
regulations,0.01872715664248508
time,0.018288624260837737
certain employees,0.017916639547255152
effective,0.017595470989463877
necessary,0.017270991204972067
employees represented,0.01710751424550872
award,0.016926528971523896
