term,score
thereto following,0.03722448228924786
adding thereto,0.03464119505134583
chairman,0.03408887869172851
adding,0.03026208959452531
following,0.02994125842407831
members,0.02949922095474524
thereto,0.023840922170287476
authorized,0.02188493325531789
established,0.02069920817175022
railway,0.02052612316799302
regulations,0.020501629780096314
respect,0.019878080839264737
member,0.019864443478913328
designated,0.018101559105869535
commissioner,0.017917530490964558
time,0.01762559195454869
assistant,0.017385367171794598
suspend,0.016777241095179845
referred,0.016290191878329606
inspection,0.016082400705250344
employees,0.015896120294637515
appropriate,0.015835275712357277
prescribed,0.015611399640039816
sections,0.014614100723244748
programs,0.014574221286720156
