term,score
different,0.47039472690478584
hours,0.308736680596255
laborers mechanics,0.21156651175559832
hours labor,0.20505275044098326
mechanics,0.1996617131650263
persons,0.18302484799750515
adopting,0.1823430174627884
laborers,0.1779173040791681
works,0.17710243875417264
directs,0.17710243875417264
removed,0.17440637736370437
persons employed,0.1630700079356751
finding,0.16230793278073968
relation,0.1601268618757998
classes,0.15989362250281908
uniform,0.15193238769361192
course,0.14772090608603647
places,0.14725151252330246
immediate,0.1469424405537405
much,0.14428982868705365
well,0.1264530208638634
system,0.12504462993406254
number,0.12458887541216547
employed,0.12029640429214584
labor,0.11888191853621649
