term,score
chairman,0.02995646893721173
time,0.025414519464711606
inspection,0.023290971447971195
members,0.0224034318946166
regulations,0.02163724976413238
following,0.019484044146281108
assistant,0.01826657202688871
established,0.01724524828710519
action,0.016852336712828105
positions level,0.01678060636837481
deleting,0.016669885583131684
placing certain,0.016539891549659683
designated,0.016395300499900116
follows,0.016382325708293902
respect,0.01619418855246817
certain positions,0.016051006702500963
programs,0.015997283958826856
appropriate,0.015928792198771028
level,0.015378638981979728
authorized,0.01534592262479077
inserting,0.015175643976707833
placing,0.015049527897005262
deputy,0.015006450647945715
relating,0.015004060111842715
employees,0.014938596954510937
