term,score
members,0.03916943074512306
board,0.033618143065741825
report,0.033260632954340986
delegated,0.029085295164096428
filed,0.026279477524654874
constitution,0.024796102626366577
terminate,0.022932682865178865
dispute,0.02177429084345582
inserting,0.02041511995130958
effective,0.019339600811440472
established,0.018778212664526575
deleting,0.0182940909953653
lieu,0.017205618238644846
extent,0.01710073525005899
private,0.016926004123413857
sooner extended,0.016660197580900694
information,0.01660042366081611
funds,0.01641728918173275
pay,0.015516266323561612
designated,0.01530594428813119
presidents,0.015271847805087124
appointed,0.01525206026871803
unless sooner,0.015041343233529625
sooner,0.014944546468524545
constitution laws,0.014941554229815301
