term,score
south,0.10378583244253131
east,0.0862418135271506
north,0.07952261438562194
boundary,0.07750460040673468
miles,0.07015229287066187
west,0.06971360182332652
due,0.06583952922727966
line,0.06372851320099575
reservation,0.0630916735277275
river,0.057051850971358585
along,0.05384529998662342
township,0.05258579532126911
township south,0.052406703980510075
point,0.04823441718951716
south range,0.04719579437318464
boundary line,0.04660428191822911
range,0.045530248941356474
beginning,0.04549260050568138
range east,0.0447479799028263
place beginning,0.04093584354729803
viz,0.039557615137781735
apart,0.038335445364660214
withdrawn sale,0.03569776769292275
sale,0.03477026268495766
degrees,0.03461984674184515
