term,score
examination,0.05359188141410942
north,0.037072950216156544
civilservice rules,0.036642153107804595
clerk,0.035969142291840686
rules,0.03553626129042994
township,0.03444555073588266
civilservice,0.033018132827400154
west,0.03274046321433596
range,0.03149110666370071
line,0.029567809268651168
corner,0.029476233006751625
mrs,0.0284680710013769
per,0.027696818989971967
appointed,0.027300977124454562
north range,0.026322778966295722
east,0.024875324504504328
reserved,0.024746916942190878
reservation,0.024736337898425723
township north,0.0228174494395122
apart,0.022197758177299694
southeast,0.021274824325042664
per annum,0.021246876018005276
annum,0.021246876018005276
special,0.02124306615716811
appointment,0.020747572631131875
