term,score
river,0.07860867142471503
north,0.05283040473490594
south,0.04971475461792608
reservation,0.049291813213753054
apart,0.04751096778406589
point,0.046468152788752104
east,0.04524928404261754
line,0.044140622557387224
set apart,0.041969864487219274
miles,0.03914162603578079
tract country,0.03731599238704815
west,0.03575815062610929
beginning,0.03538503932721968
due,0.03366634445097459
boundary,0.03313749403955279
place beginning,0.03252009839546336
viz,0.03235521169727395
tract,0.03222902982079534
command,0.031667790171650945
country,0.030998897338578017
withdrawn sale,0.030650255452012474
range,0.030033372542987682
set,0.02886095750740794
township,0.028518912155083852
place,0.02803887611201053
