term,score
reservation,0.06082514200495557
meridian,0.058053422923205616
township,0.0546539035055719
settlement entry,0.054161869004386375
entry sale,0.053116195179630045
range,0.048483913059759076
proclamation,0.044779237208428746
rights persons,0.04431641752194192
valid,0.043407747881952
lands,0.04328820744904799
east,0.04113456731916528
settlement,0.0404958766483943
indian reservation,0.038395810936266934
sale,0.03658912421473913
range east,0.03653785419958881
entry,0.03652541908716261
described,0.0353183594723332
indian,0.0348674538241917
existing,0.03484428471269459
rights,0.03401022364339702
reserved,0.03343392943294668
aside,0.03304436171924034
south,0.031971884046661965
use,0.030781657164896326
set aside,0.030433905709806006
