term,score
constitution laws,0.03448613070510721
inserting,0.03414032484467433
deleting,0.03295796400202727
information,0.0328122466353764
filed,0.03140840397983322
constitution,0.029466043627108293
lieu,0.02850601698175343
members,0.028407449575144916
laws,0.02649374254757625
appropriate,0.02350971948804789
sentence,0.023145436202085052
report,0.02285552398355384
extent,0.02232787971720979
inserting lieu,0.019598203282091532
date,0.01907419563198267
programs,0.018433812637002736
presidents,0.017909738779616612
number,0.0170479136876826
management,0.016768213493647856
second sentence,0.01674603803887742
international,0.01574762292781475
established,0.015650596733864878
effective,0.01561923862464442
person,0.015557473232761118
activities,0.01512345545710211
