term,score
canal,0.04244084681469802
vessel,0.03471747779696756
war,0.030642081053099585
canal zone,0.025486183777849964
use,0.025307286377088838
zone,0.023859836255653834
time,0.023724910999738922
lands,0.02234410751179151
authorized,0.021523596831229664
hundred,0.02093677389235177
passports,0.020759793326869544
directed,0.018319875949387887
vessels,0.018309951670228235
period,0.017960513175042936
panama,0.017542916044597855
date,0.016880024320940556
effect,0.0167742844333398
person,0.016724969297120147
range,0.016508347211925355
issued,0.016214804245787147
panama canal,0.016171819744613687
entry,0.015897069000509648
radio,0.015778996436341307
withdrawn,0.01543085134505211
township,0.015097267675956514
