year,eo_count,total_tokens,avg_tokens_per_eo,median_tokens_per_eo,total_sentences,avg_sentences_per_eo,avg_words_per_sentence,total_characters,avg_characters_per_eo
1826,1,992,992.0,992.0,38,38.0,26.11,5758,5758.0
1829,1,74,74.0,74.0,3,3.0,24.67,451,451.0
1830,1,277,277.0,277.0,13,13.0,21.31,1584,1584.0
1831,1,63,63.0,63.0,4,4.0,15.75,395,395.0
1834,1,655,655.0,655.0,27,27.0,24.26,3842,3842.0
1836,1,963,963.0,963.0,30,30.0,32.1,5571,5571.0
1837,3,2154,718.0,414.0,60,20.0,35.9,12765,4255.0
1840,1,100,100.0,100.0,3,3.0,33.33,610,610.0
1841,1,75,75.0,75.0,4,4.0,18.75,465,465.0
1844,1,683,683.0,683.0,37,37.0,18.46,4028,4028.0
1845,1,948,948.0,948.0,40,40.0,23.7,5514,5514.0
1847,1,4561,4561.0,4561.0,120,120.0,38.01,27118,27118.0
1848,2,660,330.0,330.0,37,18.5,17.84,3770,1885.0
1849,1,476,476.0,476.0,35,35.0,13.6,2758,2758.0
1850,1,279,279.0,279.0,23,23.0,12.13,1628,1628.0
1851,1,246,246.0,246.0,16,16.0,15.38,1558,1558.0
1852,4,617,154.25,96.0,27,6.75,22.85,3762,940.5
1853,2,772,386.0,386.0,37,18.5,20.86,4467,2233.5
1859,1,418,418.0,418.0,25,25.0,16.72,2444,2444.0
1861,18,4012,222.89,165.0,142,7.89,28.25,24171,1342.83
1862,40,9092,227.3,193.0,402,10.05,22.62,54999,1374.98
1863,15,2611,174.07,145.0,90,6.0,29.01,15703,1046.87
1864,30,5774,192.47,157.5,246,8.2,23.47,35333,1177.77
1865,35,9467,270.49,169.0,459,13.11,20.63,58893,1682.66
1866,14,3072,219.43,150.5,93,6.64,33.03,18404,1314.57
1867,10,3316,331.6,171.0,166,16.6,19.98,19984,1998.4
1868,15,4984,332.27,137.0,208,13.87,23.96,29598,1973.2
1869,13,2972,228.62,163.0,248,19.08,11.98,18235,1402.69
1870,6,1022,170.33,175.5,81,13.5,12.62,6388,1064.67
1871,3,1126,375.33,378.0,49,16.33,22.98,6834,2278.0
1872,6,3575,595.83,362.5,114,19.0,31.36,21867,3644.5
1873,51,14072,275.92,189.0,432,8.47,32.57,84210,1651.18
1874,20,3939,196.95,205.0,166,8.3,23.73,23056,1152.8
1875,24,5969,248.71,232.5,242,10.08,24.67,34607,1441.96
1876,14,2507,179.07,168.0,108,7.71,23.21,14838,1059.86
1877,16,2766,172.88,161.5,162,10.12,17.07,16109,1006.81
1878,3,444,148.0,154.0,19,6.33,23.37,2604,868.0
1879,9,2626,291.78,277.0,112,12.44,23.45,15181,1686.78
1880,9,1699,188.78,193.0,62,6.89,27.4,9948,1105.33
1881,6,730,121.67,116.5,36,6.0,20.28,4393,732.17
1882,16,4050,253.12,249.5,132,8.25,30.68,23822,1488.88
