split,label,president_dir,filename,source_path,output_path,char_count
train,democrat,Lyndon_B_Johnson,"March 25, 1965__executive-order-11209establishing-the-federal-development-committee-for-appalachia-and-prescribing-other-arrangements-for-coordination-with-.txt","Lyndon_B_Johnson/March 25, 1965__executive-order-11209establishing-the-federal-development-committee-for-appalachia-and-prescribing-other-arrangements-for-coordination-with-.txt","train/democrat/Lyndon_B_Johnson/March 25, 1965__executive-order-11209establishing-the-federal-development-committee-for-appalachia-and-prescribing-other-arrangements-for-coordination-with-.txt",5256
train,democrat,Harry_S_Truman,"May 19, 1952__executive-order-10352amendment-of-the-regulations-relating-to-the-safeguarding-of-vessels-harbors-ports-and-waterfront-facilities-of-the-uni.txt","Harry_S_Truman/May 19, 1952__executive-order-10352amendment-of-the-regulations-relating-to-the-safeguarding-of-vessels-harbors-ports-and-waterfront-facilities-of-the-uni.txt","train/democrat/Harry_S_Truman/May 19, 1952__executive-order-10352amendment-of-the-regulations-relating-to-the-safeguarding-of-vessels-harbors-ports-and-waterfront-facilities-of-the-uni.txt",641
train,democrat,Jimmy_Carter,"December 01, 1977__executive-order-12025executive-schedule.txt","Jimmy_Carter/December 01, 1977__executive-order-12025executive-schedule.txt","train/democrat/Jimmy_Carter/December 01, 1977__executive-order-12025executive-schedule.txt",562
train,democrat,Jimmy_Carter,"December 21, 1977__executive-order-12031exemption-from-mandatory-retirement.txt","Jimmy_Carter/December 21, 1977__executive-order-12031exemption-from-mandatory-retirement.txt","train/democrat/Jimmy_Carter/December 21, 1977__executive-order-12031exemption-from-mandatory-retirement.txt",636
train,democrat,Harry_S_Truman,"December 11, 1952__executive-order-10419restoring-the-posssession-use-and-control-of-certain-land-to-the-territory-of-hawaii-and-transferring-title-to-such-lan.txt","Harry_S_Truman/December 11, 1952__executive-order-10419restoring-the-posssession-use-and-control-of-certain-land-to-the-territory-of-hawaii-and-transferring-title-to-such-lan.txt","train/democrat/Harry_S_Truman/December 11, 1952__executive-order-10419restoring-the-posssession-use-and-control-of-certain-land-to-the-territory-of-hawaii-and-transferring-title-to-such-lan.txt",7078
train,democrat,Andrew_Johnson,"May 06, 1865__executive-orderspecial-orders-211.txt","Andrew_Johnson/May 06, 1865__executive-orderspecial-orders-211.txt","train/democrat/Andrew_Johnson/May 06, 1865__executive-orderspecial-orders-211.txt",1755
train,democrat,Jimmy_Carter,"May 18, 1979__executive-order-12138womens-business-enterprise.txt","Jimmy_Carter/May 18, 1979__executive-order-12138womens-business-enterprise.txt","train/democrat/Jimmy_Carter/May 18, 1979__executive-order-12138womens-business-enterprise.txt",11071
train,democrat,Franklin_D_Roosevelt,"December 03, 1936__executive-order-7503amending-and-correcting-description-of-boundaries-of-kuwaaohe-military-reservation-hawaii.txt","Franklin_D_Roosevelt/December 03, 1936__executive-order-7503amending-and-correcting-description-of-boundaries-of-kuwaaohe-military-reservation-hawaii.txt","train/democrat/Franklin_D_Roosevelt/December 03, 1936__executive-order-7503amending-and-correcting-description-of-boundaries-of-kuwaaohe-military-reservation-hawaii.txt",3287
train,democrat,Franklin_D_Roosevelt,"July 27, 1933__executive-order-6222postponing-effective-date-of-transfer-of-legal-work-veterans-administration-to-department-of-justice.txt","Franklin_D_Roosevelt/July 27, 1933__executive-order-6222postponing-effective-date-of-transfer-of-legal-work-veterans-administration-to-department-of-justice.txt","train/democrat/Franklin_D_Roosevelt/July 27, 1933__executive-order-6222postponing-effective-date-of-transfer-of-legal-work-veterans-administration-to-department-of-justice.txt",526
train,democrat,Franklin_D_Roosevelt,"February 4, 1935__executive-order-7047modification-of-executive-order-no-6957-of-february-4-1935-withdrawing-public-lands.txt","Franklin_D_Roosevelt/February 4, 1935__executive-order-7047modification-of-executive-order-no-6957-of-february-4-1935-withdrawing-public-lands.txt","train/democrat/Franklin_D_Roosevelt/February 4, 1935__executive-order-7047modification-of-executive-order-no-6957-of-february-4-1935-withdrawing-public-lands.txt",371
train,democrat,Franklin_D_Roosevelt,"July 29, 1943__executive-order-9365womens-army-corps-service-medal.txt","Franklin_D_Roosevelt/July 29, 1943__executive-order-9365womens-army-corps-service-medal.txt","train/democrat/Franklin_D_Roosevelt/July 29, 1943__executive-order-9365womens-army-corps-service-medal.txt",483
