model,accuracy,precision,recall,f1
small_GaussianNB,0.6286945812807881,0.6301369863013698,0.6231527093596059,0.6266253869969041
small_LogReg,0.6976600985221675,0.6846950517836594,0.7327586206896551,0.7079119571683522
small_LinearSVC,0.7075123152709359,0.6947976878612717,0.7401477832512315,0.7167561121049493
small_DecisionTree,0.6545566502463054,0.6562889165628891,0.6490147783251231,0.6526315789473685
big_GaussianNB,0.6077586206896551,0.6386687797147385,0.4963054187192118,0.5585585585585585
big_LogReg,0.7105911330049262,0.6988372093023256,0.7401477832512315,0.7188995215311005
big_LinearSVC,0.7198275862068966,0.7058823529411765,0.7536945812807881,0.7290053603335319
big_DecisionTree,0.645320197044335,0.6486146095717884,0.6342364532019704,0.6413449564134496
big_tfidf_GaussianNB,0.5979064039408867,0.5784797630799605,0.7216748768472906,0.6421917808219179
big_tfidf_LogReg,0.6514778325123153,0.6443661971830986,0.6761083743842364,0.6598557692307693
big_tfidf_LinearSVC,0.6711822660098522,0.6639150943396226,0.6933497536945813,0.6783132530120481
big_tfidf_DecisionTree,0.6206896551724138,0.6231155778894473,0.6108374384236454,0.6169154228855721
