term,score
war,0.07579363621630411
military,0.06580442974226813
command,0.05383720671868985
army,0.035402542714704145
city,0.03243382045625979
majorgeneral,0.032322443493658745
commanding,0.028296143757006693
troops,0.02644147156316886
general,0.024300888999045093
officers,0.024270357817325443
insurrection,0.024005916273555698
service,0.02359915168812692
country,0.022595787133785367
persons,0.021599480710835933
forces,0.02116706363660263
adjutantgeneral,0.021035358519194768
upon,0.020966375054899115
orders,0.020924331966384647
governor,0.019359903723536832
volunteers,0.01912086347038034
generals,0.019033685584999162
draft,0.01786933462016816
authorized,0.017511188296073395
naval,0.017008931446508422
exportation,0.016892184931293165
