term,score
pension,0.09866311092903757
country,0.08493206524699781
acting,0.08483001795167164
respectfully,0.08372690376566096
war,0.08353328195878269
sir,0.08001329425258585
dismissal,0.0768039806054523
volunteers,0.07560407186476165
requisition,0.07264055446663446
death,0.0669473521503828
addressed,0.06553591597290352
office,0.0647561917668482
received,0.06409076092242946
every,0.06269119772262369
called,0.06195440020573566
clerk,0.06182717649826361
apportionment,0.05905006189387324
memory,0.05517380711914799
receipt,0.05515959041257304
adjudged,0.054962689257231356
general,0.052906781598195916
anyone,0.05204793847476912
consequence,0.04992763109676462
commence,0.049331555464518784
honors,0.04826010523427776
