term,score
command,0.08388052677091906
brevet,0.0741076306624414
military,0.054376396425435465
adjutantgeneral,0.05068320421208166
majorgeneral,0.04999461574746548
office,0.049403952956968034
district,0.047135998505241195
assistant adjutantgeneral,0.04592545500287308
war,0.043272331871892056
generals office,0.04154786342413666
generals,0.04077658612012921
brigadiergeneral,0.03849121718075881
instant,0.03828478969860461
sir,0.03489010071417716
headquarters,0.03291020045113404
assistant,0.029832048393380498
brevet majorgeneral,0.029568579725722886
late,0.029013842012309433
upon,0.028788080421400707
oath,0.027866267219825356
hon,0.027840942466240554
commanders,0.026635484782991724
several,0.026626219248568724
respectfully,0.02612039283371966
north range west,0.02507583451501789
