term,score
rule,0.11703849673997509
departmental rule,0.08806447917239106
special departmental,0.0767944211884553
departmental,0.07600530710495756
examination,0.06864970306410699
places,0.062123119681802924
excepted examination,0.05729955407540106
following,0.054642101210741485
rule adding,0.05302929641376218
office,0.04923387983456172
excepted,0.04899151213616729
special,0.04760656421751804
clause,0.04345585702441143
clerk,0.039964122691716265
funeral,0.03962603095093545
adding,0.03815821071254632
employed,0.027534504689555244
among,0.026885895228272703
general,0.024399868453867334
rule iii,0.024256678172776557
word,0.024000414402430448
mail,0.023788790277040592
general rule,0.022374220536751494
halfmast,0.02206651543561087
chief,0.02116810371910127
