term,score
deceased,0.05575914976186963
service,0.0517217524896357
civil service rules,0.04376720252353704
service rules,0.04342458286499305
civil service,0.03861070811338044
mrs,0.03836109148870937
without,0.03819096491511344
concur,0.03786126878820067
position,0.03690914631102082
civil,0.03563260072785977
without regard,0.03556583078739189
rules,0.03369572662689427
regard,0.03167515577181894
trust,0.03083816425249228
time limit,0.02582449384092501
appointed appropriate,0.02531254299744029
classified,0.024931345978323055
position without,0.024609818342815372
trust period,0.02438597479123005
reinstated,0.022739888825108003
period,0.022553376045441456
allotments,0.021979685904918726
appropriate position,0.02150260330139948
widow,0.021397435738431413
miss,0.021344747868601945
