term,score
south,0.06337149785020445
west,0.060050576521893
range,0.05976212327410226
north,0.05837820265687818
east,0.0569631572275202
township,0.05665577188561448
reservation,0.04705199669911833
boundary,0.04195018169129413
south range,0.04172823861551866
township south,0.041055957827521576
river,0.0403719815604049
rule,0.040319950493844
apart,0.03966183656440178
line,0.03773765253855114
examination,0.035455004918322146
along,0.03391210354739094
set apart,0.03347886645801435
viz,0.03342349037796333
range east,0.03189495432062502
corner,0.03074633357087331
meridian,0.03031290332900659
miles,0.03001744769955618
board,0.029639213001142674
tract,0.02953695451706258
corner township,0.02875634984073299
