term,score
person,0.045115861594992146
policy,0.043333458205788045
applicable,0.03627655814313335
appropriate,0.0361979962178253
within,0.033436229433937245
departments,0.03289693426202051
general,0.02973018161456638
head,0.02962116621107922
administrative,0.028946291151010436
entities,0.028146767068367932
functions,0.027555518741716495
employees,0.027315989213138887
benefit,0.027133015237221118
granted,0.02705919093562314
availability,0.02661594873414787
implemented,0.025737263220674045
availability appropriations,0.02535952814709673
legislative,0.02530087242474239
departments entities,0.025182132987117
budgetary,0.02517402895670221
agents person,0.025045189432614558
national,0.025041882142843284
employees agents,0.024948888556842328
officers,0.02492517704671132
applicable subject,0.02492150387841504
