term,score
virtue,0.032908575631809114
service,0.03273710325686997
provisions,0.026138379383682585
retirement,0.025593626477495936
code,0.02515242460501269
fair competition,0.02495306423246666
code fair,0.02428492251088545
code fair competition,0.02424406910015345
lands,0.023795460901228454
competition,0.02372015293559915
fair,0.023616415268765813
retirement age,0.023413931188763917
administrator,0.023261666495765092
age,0.022139337226271375
compulsory retirement,0.017207988420755053
compulsory,0.017108968478025555
lots,0.0167207261074846
war,0.015607118792126928
period,0.0152150991791038
interest,0.014754526796221782
secs,0.014706273317801923
compulsory retirement age,0.014582223999727136
age period,0.014344649868991595
retirement age period,0.014344649868991595
approval,0.014047772382543804
