term,score
war,0.1854771846079588
guns,0.16125422077063964
general supervision,0.14123197472333207
officer officers,0.13769282784767545
officer,0.13607961527687984
work,0.13090882443080018
promoted,0.12322087449882103
corps,0.12168816943972298
competent,0.10875672684078201
charge,0.10105358134418337
people,0.10034365426355062
exercised,0.09652405762577788
mourning,0.09561769086534862
honors,0.09561769086534862
deep,0.09456699165843296
supervision,0.09382690291972284
suitable,0.09247013752965615
whole,0.0920373130564312
oclock,0.09100386797811585
involved,0.08954205817991032
officers,0.08676796972210932
instant,0.08329651474743575
memory,0.08198685032967919
heretofore,0.07866434678203628
immediately,0.07775432743054159
