term,score
rule,0.09019818342889183
examination,0.08829312391209002
clause,0.05363510583805795
departmental,0.051596062832618445
service,0.0511171400495024
departmental rule,0.04650574848686358
appointment,0.039218093573099494
classified,0.03521740053962405
office,0.034605529430981816
special departmental rule,0.030542749976190192
customs,0.030421779320422362
special departmental,0.030386689654688426
places,0.028494381007671543
clerk,0.027893215341620026
special,0.02776371056534394
place,0.026857636295423662
rule iii,0.026713159016258807
words,0.026262344818183733
employed,0.0262047175340885
filled,0.02573948736591788
excepted examination,0.0251610090848681
excepted,0.024623539293238954
general rule,0.02393190213569434
noncompetitive,0.022760596135375986
sir,0.022726935538599363
