term,score
lands,0.044401098081097386
revoked,0.031027958656083553
mrs,0.03101301336913471
entry,0.028994546362519014
meridian,0.028929402593832435
unless revoked,0.028673635015611758
effect unless,0.02849316501916838
full force,0.027695678365825743
continue full,0.026936501967666948
force effect,0.026886831665353373
lots,0.024590980198796106
withdrawn,0.023700141401158784
settlement,0.02327281398539406
force,0.023065146258813545
land,0.02276859051354414
resurvey,0.022360846814445962
full,0.02209161872563693
effect,0.021713202456852456
subject,0.021603668062382595
unless,0.021395668043737284
settlement location,0.021014855601918583
location sale,0.020827518732303405
secs,0.02082255780136885
sale entry,0.020607166381308432
withdrawn settlement,0.02050891976230544
