term,score
graves soldiers,0.13760611472584064
closed instant,0.13675323766188288
graves,0.13675323766188288
decoration,0.13514921491768986
employees participate,0.13366412181782342
east meridian,0.13241762050061381
rebellion,0.13162443873633303
settlement set,0.12583928516064197
respectfully,0.12286285495236574
sale settlement,0.1201280179551393
apart reservation,0.11901449034207633
instant,0.11773405602681589
sir,0.11741341580635731
township south,0.11728707917713559
soldiers,0.11648117394064075
excepting,0.11569801494564048
south range,0.11451242661967255
range east,0.11339366841650994
etc,0.11339205809658129
unsurveyed,0.1131235594252426
withdrawn sale,0.10858653349020726
addressed,0.10795501584936046
passed,0.10694826798295082
closed,0.10243954835283878
tracts,0.09949730832253434
