term,score
war,0.21448366950097084
colors,0.17697878981523602
flags,0.15646440403921894
duties,0.14090241484710714
ports,0.09850797000025209
displayed,0.09384088710719332
military,0.09303279721398264
standards,0.09087855410036697
taken,0.081678209960652
memory,0.07731548679589119
deposited,0.0731500826488607
stations,0.07189436388117752
preserved,0.07156379531471753
people,0.06948599196393429
orders,0.06842812591583468
proper,0.06535712568442507
revenue,0.06485507744069471
directing,0.06305363007794108
guns,0.06082657658705497
recent,0.060572401946005466
mourning,0.06011312209072878
eminent,0.05883760376693692
seat,0.057721971753598895
oclock,0.057212494643912516
expired,0.05696827600242222
