term,score
dispute,0.037130054584689834
usc,0.03510950118345515
labor,0.03119375343128677
functions,0.02943475939240564
railway,0.027044198261654134
members,0.026561816994889575
provisions,0.026393227445200826
inspection,0.025063261058000906
chairman,0.0249120043845504
employees,0.02479482931077156
board,0.024575802870221344
authorized,0.0241090347137145
respect,0.02356934439291363
emergency,0.02348905609123851
appropriate,0.023154522251804303
upon,0.022948920652750397
virtue,0.021662994872340396
certain,0.021646136503233212
made,0.020584001381322842
report,0.019901663434146667
part,0.019558722847434318
railway labor,0.019489995048741313
time,0.01787717608852508
represented,0.01773382580149836
service,0.017707601697173343
