term,score
consistent,0.053421229594107694
consistent applicable,0.047460466400661525
person,0.044619976912785485
applicable,0.04063675916859958
appropriate,0.03869558548415554
policy,0.03642852521057599
actions,0.030690253774981736
national,0.02930610257498759
health,0.02918878190532136
communities,0.02885248250911464
data,0.028817319796657526
within,0.02854500828618028
equity,0.028413432214707216
departments,0.028073707503872503
consultation,0.02658319890079968
security,0.025500623283004495
support,0.02507031694804241
appropriate consistent,0.025004403415552344
climate,0.024868163199668836
appropriate consistent applicable,0.024723806376513426
entities,0.024296163242959776
employees,0.02427370363227699
usc,0.02422607033182368
general,0.023367495087167713
property,0.023234616412545702
