term,score
different,0.4697795187217056
hours,0.3083328977274086
laborers mechanics,0.211289813396001
hours labor,0.20478457113790202
mechanics,0.19940058455800472
persons,0.18278547800087278
adopting,0.18210453920175687
laborers,0.17768461401033736
works,0.17687081441118319
directs,0.17687081441118319
removed,0.17417827907858638
persons employed,0.17069363298329676
finding,0.16209565750911284
relation,0.15991743912906717
classes,0.15968450479941
uniform,0.15173368213243552
course,0.14752770853292155
places,0.14705892886899288
immediate,0.1467502611208092
much,0.1441011184863088
well,0.12628763862473294
system,0.12488108966631364
number,0.1244259312053316
employed,0.12013907401592734
labor,0.1187264382025295
