term,score
thence,0.16197943917869564
south,0.09257673894001764
east,0.07631797191192585
north,0.07085843421151919
boundary,0.06924810231988773
west,0.06278156853174839
miles,0.06258596578012968
due,0.05868751544611006
reservation,0.057249353024499544
line,0.05697207890801286
thence due,0.053954436240747666
river,0.05131780756541039
along,0.04785661097284965
township south,0.04657801345989298
township,0.04618352618152554
township south range,0.043341446787894984
point,0.04301348524915027
boundary line,0.04180887672021395
south range,0.04157468056865336
beginning,0.040775232229517955
range,0.04002605994178788
range east,0.038856934447922695
place beginning,0.03671473280565574
viz,0.03577912283473267
south range east,0.03533271525872521
