term,score
without examination,0.05333705993490812
examination,0.05021083170251036
without,0.03726933112821423
thence,0.036368109403096656
civilservice rules,0.03521406069884298
rules,0.0335234035118107
clerk,0.03285820029679414
north,0.03247856012890576
civilservice,0.03173128309697716
township,0.030275666008033778
service,0.029911507921099065
west,0.0293193914876999
range,0.02794440203483477
line,0.026436330767216135
per,0.026387563909906382
appointed,0.02589008106374701
mrs,0.025798766987058193
corner,0.024515555944169418
reserved,0.02440251898102423
reservation,0.02438337841107792
north range,0.02263579076512392
east,0.021972985556773388
apart,0.02140434615680312
special,0.020079007059506635
set apart,0.019683365427629062
