term,score
thence,0.11534459190525169
river,0.0743528127893391
north,0.048541880013891356
reservation,0.046548832072093003
south,0.04555766033724362
apart,0.04495598279576616
point,0.042999063530715885
east,0.04146032101316693
line,0.04102283304284355
set apart,0.03978235871789549
tract country,0.03526693094480232
miles,0.03511522419472316
command,0.03334250048239698
west,0.03316947287395764
beginning,0.03255180504063357
boundary,0.030612512192545863
tract,0.030419689492020126
due,0.030091028420536937
place beginning,0.03003006374630425
viz,0.030005840203250343
river thence,0.029804292467479825
country,0.029592040580590413
thence due,0.02863235100318015
range,0.027975582515093207
set,0.02740350541424317
