term,score
office,0.033645329378999854
known,0.03352673563715251
following,0.031071570573893353
purposes,0.030732191500937322
appointed,0.028045584120237062
preference,0.02797154292057707
acres,0.027639979800256544
estimates,0.02719451350857765
dated,0.025657547517971127
quarter,0.02517848694516972
bureau,0.02508511946110903
patents,0.02499395908242555
war,0.024663892308362773
papers,0.024062889963294008
military,0.02287425904125908
direct,0.022423670055492288
containing,0.02234803464867718
authorize,0.02216386084030498
military purposes,0.02195812982877898
offices,0.021676143836383846
acquired,0.021553222146144184
directed take,0.02089878406964131
time,0.020713362755078846
superintendent,0.02069674262301894
departments,0.020452229983859527
