term,score
reservation,0.06027585626896884
meridian,0.05769973671579432
township,0.05439501720606466
settlement entry,0.05316404210688183
entry sale,0.052063446634300486
range,0.04829794703610198
proclamation,0.044681083267174605
rights persons,0.04329269894176309
lands,0.04294669618691807
valid,0.04256695825864561
east,0.04131128844754087
settlement,0.039753237218142654
indian reservation,0.03807413169240168
range east,0.036999674939088574
sale,0.0359365758383482
entry,0.03578700231836224
described,0.035226116729369816
indian,0.03457533507716768
existing,0.03440085929087056
rights,0.03342725452271417
reserved,0.032894332728822306
aside,0.03286526735180746
south,0.032214111989793986
use,0.030462454066363918
township south,0.03010687393650627
