term,score
constitution laws,0.033845054049667124
inserting,0.03351680057678984
deleting,0.03324217355580822
information,0.032424087571307075
filed,0.03086203794767315
constitution,0.028946227169333986
usc,0.028726006537116974
members,0.0284434934114783
lieu,0.028084153564843697
laws,0.025975116058037862
sentence,0.023861765816398466
appropriate,0.02329634297099694
report,0.02228351465223433
extent,0.021940641073516058
inserting lieu,0.01905392737201209
date,0.018709197934498607
functions,0.018693770454235946
programs,0.018231371191687783
policy,0.017840307107643914
presidents,0.017652629704301284
number,0.01733174735667808
second sentence,0.017239026764485486
within,0.016735053511404575
management,0.016519963403865887
established,0.015245191366479933
