term,score
islands,0.048000898616665275
war,0.04250873497173863
island,0.04077898322175419
military,0.03143474997373332
south,0.029669438083816935
range,0.028040215505722565
township,0.026368136770812556
lighthouse,0.026091319828753623
purposes,0.024937326327879577
thence,0.024785717821403975
west,0.02379479148960726
north,0.02320494183706303
south range,0.02169366365462865
allotted,0.02077043279455972
set,0.020718047951998678
vessels,0.02051886674120051
tract,0.020463314397780936
set apart,0.020442953636315406
lighthouse purposes,0.020316749524888312
apart,0.020101360596599324
upon,0.019953403437202543
auditor,0.01881717316065848
governor,0.018753972372177963
quarantine,0.01852991945390989
thousand,0.018022115428703907
