term,score
canal,0.0425186619310165
vessel,0.03463197441654836
war,0.030726323509526574
canal zone,0.025649841365830497
upon,0.024969474187795396
use,0.024675357477580484
zone,0.024013050376890936
time,0.023844547445260683
authorized,0.021632122757780398
lands,0.021295293910595012
hundred,0.02110775955096547
passports,0.02105531642124559
service,0.018942746722629945
directed,0.01831526128895556
vessels,0.0182238269192184
period,0.01794921214215319
panama,0.017429801451622363
date,0.01680185404833838
person,0.01674997603039037
effect,0.016608906950227383
issued,0.016376602278982147
panama canal,0.016054968984831205
range,0.01581839472915653
radio,0.015490790176864392
entry,0.015386826273439451
